Id;times active
MN0000794449;[u'1950s', u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000884251;[u'2000s', u'2010s']
MN0000147315;[u'1980s', u'1990s', u'2000s', u'2010s']
MN0000945196;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000155116;[u'1960s', u'1970s']
MN0000125561;[u'1980s', u'1990s', u'2000s']
MN0000814898;[u'1960s', u'1970s', u'1980s']
MN0000827760;[u'1980s', u'1990s', u'2000s']
MN0000574597;[u'1980s', u'1990s', u'2000s']
MN0000811598;[u'1950s', u'1960s', u'1970s', u'1980s', u'1990s']
MN0000293896;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000028772;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000170879;[u'2000s', u'2010s']
MN0000927555;[u'1950s', u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000225413;[u'1990s']
MN0000144847;[u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000382880;[u'1970s', u'1980s']
MN0000816844;[u'2000s', u'2010s']
MN0000932665;[u'1990s', u'2000s', u'2010s']
MN0000048300;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000264350;[u'1990s', u'2000s', u'2010s']
MN0000260212;[u'1980s', u'1990s', u'2000s', u'2010s']
MN0000937703;[u'1950s', u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000744442;[u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000578730;[u'1960s']
MN0000021334;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000316834;[u'1950s', u'1960s', u'1970s', u'1980s']
MN0000933883;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000169818;[u'1990s', u'2000s', u'2010s']
MN0000281254;[u'1990s', u'2000s', u'2010s']
MN0000062412;[u'1990s', u'2000s', u'2010s']
MN0000327735;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000359026;[u'1980s', u'1990s', u'2000s', u'2010s']
MN0000745915;[u'1950s', u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000546214;[u'1980s', u'1990s', u'2000s', u'2010s']
MN0000101072;[u'2000s', u'2010s']
MN0000149558;[u'1960s', u'1990s']
MN0000751019;[u'1960s', u'1970s', u'1980s']
MN0000146755;[u'1980s', u'1990s', u'2000s', u'2010s']
MN0000640042;[u'1980s', u'1990s', u'2000s', u'2010s']
MN0000019133;[u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000252315;[u'1990s', u'2000s', u'2010s']
MN0000351733;[u'1980s', u'1990s', u'2000s', u'2010s']
MN0000933781;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000165011;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000807869;[u'1990s', u'2000s', u'2010s']
MN0002901281;[u'2010s']
MN0000185669;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000490738;[u'1990s', u'2000s', u'2010s']
MN0000370484;[u'1980s', u'1990s', u'2000s', u'2010s']
MN0000251361;[u'1970s', u'1980s', u'2000s', u'2010s']
MN0000554963;[u'1970s', u'1980s']
MN0000661524;[u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000062002;[u'1970s', u'1980s', u'1990s', u'2000s']
MN0000692251;[u'1960s', u'1970s', u'1980s']
MN0000563390;[u'2000s', u'2010s']
MN0000245049;[u'1960s', u'1970s', u'1980s']
MN0000745964;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000821675;[u'1980s', u'1990s', u'2000s', u'2010s']
MN0000806542;[u'1950s', u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000312890;[u'1990s', u'2000s', u'2010s']
MN0000204386;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000154765;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s']
MN0000224294;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000796734;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000082013;[u'1950s', u'1960s', u'1970s', u'2010s']
MN0000007448;[u'1960s', u'1970s', u'1980s', u'1990s', u'2000s']
MN0000331910;[u'1960s', u'1970s', u'1980s']
MN0000151549;[u'1980s', u'1990s', u'2000s', u'2010s']
MN0000120521;[u'1950s', u'1960s', u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
MN0000664849;[u'1970s', u'1980s', u'1990s', u'2000s', u'2010s']
