Id;Label
MN0000759694;Bob Berg
MN0000838132;Just-Ice
MN0000254206;Juicy Lucy
MN0000303136;Uri Caine
MN0000570825;The Modern Lovers
MN0000117300;Christafari
MN0000770428;Bossanova
MN0000746984;Steinski
MN0000254757;Peggy Wood
MN0000499190;Adam Holzman
MN0000131631;Citizen Cain
MN0000123915;Christine McVie
MN0002690165;Tyler Farr
MN0000247933;Rollin' in the Hay
MN0000316250;Mary Coughlan
MN0000803757;Gene Watson
MN0000803750;Future Engineers
MN0002652747;The Stepkids
MN0000803752;Glenn Gould
MN0000366087;Pullman
MN0003159303;Douglas Dare
MN0000496695;Moonshine Willy
MN0000181155;Final Warning
MN0000160993;Exene Cervenka
MN0000683152;Robert Ward
MN0001547569;Joseph Achron
MN0001180214;Melvin "Lil' Son" Jackson
MN0000268732;Hot Snakes
MN0000079796;Billy Falcon
MN0000151988;Frank Reyes
MN0003035961;Etherwood
MN0000171050;Charles Koechlin
MN0000048757;Switch
MN0000806523;Luther "Guitar Junior" Johnson
MN0000153630;Frente!
MN0000456896;Michael Crawford
MN0000466480;Rex Hobart & The Misery Boys
MN0000605011;Tom Heasley
MN0001209499;George Gaber
MN0000583389;The Webb Brothers
MN0000795529;Elliott Sharp
MN0000668448;James Cleveland
MN0000185669;Mac Davis
MN0000207735;Charlie Feathers
MN0000471887;Oliver Mtukudzi
MN0000790732;Squeeze
MN0003410382;Red River Dialect
MN0000937584;Charlie Ryan
MN0000773732;Aqueduct
MN0000083097;Stargate
MN0000202545;Generation X
MN0000083095;Kirk Franklin
MN0000816387;Leon Russell
MN0000614339;Albert Ayler
MN0000556242;Hamza el Din
MN0000151679;Belle Stars
MN0000366681;Paramore
MN0000660881;DJ Pierre
MN0000113300;Kool Moe Dee
MN0000793275;Djeneba Diakité
MN0000101628;Charlie Ventura
MN0000819720;Les Paul & Mary Ford
MN0000418346;The Saints
MN0000676852;MC Lars
MN0000340867;Fucked Up
MN0000195171;Dorothy Love Coates
MN0000352999;K.T. Oslin
MN0000050034;Gary Moore
MN0000190529;Galliano
MN0000508391;Mtume
MN0000491174;Suffocation
MN0000810529;Jay Hoggard
MN0000679219;Dave Alvin
MN0000051740;José Carreras
MN0000399331;McClusky
MN0000021191;Ian Moore
MN0000030652;Test Department
MN0000543729;Tielman Brothers
MN0000319347;R. Kelly
MN0000399629;T.S.U. Toronados
MN0000568071;The Stranglers
MN0000067631;The Chemical Brothers
MN0000924367;Three 6 Mafia
MN0000045057;The Louvin Brothers
MN0000504432;Ron Hardy
MN0000384920;R. Stevie Moore
MN0000067638;Bill Chase
MN0000012140;Tony Martin
MN0000091987;Isolée
MN0000091983;The Black Eyed Peas
MN0000244608;The Derek Trucks Band
MN0000792275;The Electric Eels
MN0000138833;Fela Kuti
MN0000817628;Lenny Bruce
MN0000919282;999
MN0000751870;Andrea Marcovicci
MN0000031380;Paula Abdul
MN0000179632;Ulver
MN0000076057;King Crimson
MN0001792309;Warren Smith
MN0000076055;The Germs
MN0000645612;Can
MN0000283235;Jim Cullum Jazz Band
MN0000619637;Alemayehu Eshete
MN0000191074;Dehumanized
MN0000280984;Hugh Hopper
MN0000191070;Wang Chung
MN0000837215;Lucinda Williams
MN0000280762;Mark Bacino
MN0000227891;David Van Tieghem
MN0000578028;Mojo Nixon
MN0000423095;The Skyliners
MN0000797381;Carl Fontana
MN0000738156;Forest for the Trees
MN0000051736;The Manhattans
MN0000840184;Julian Priester
MN0000922911;Mojave 3
MN0000535461;Hurricane G
MN0000344275;Mel Tormé
MN0000200147;Two Dollar Pistols
MN0000208774;Janet Jackson
MN0000075794;The Hackensaw Boys
MN0001920102;Josh Woodward
MN0000854169;Kalmah
MN0000769876;Little Jimmy Scott
MN0000409968;Reba McEntire
MN0000400435;Mystery Girls
MN0000149946;Donald Byrd
MN0000663284;Harlan Howard
MN0000675942;Danny Krivit
MN0001006470;Dubb Union
MN0000359359;Chuck D
MN0000019435;Shelly Manne
MN0000818188;Denali
MN0002481864;Sarah Elizabeth Charles
MN0000340462;Pigface
MN0000137136;Eddi Reader
MN0000137137;Eddie "Cleanhead" Vinson
MN0000848664;Pigbag
MN0000818182;Johnny Rotten
MN0000138837;Joe Liggins
MN0000886459;Oakley Hall
MN0000617737;Murderdolls
MN0000814387;John Legend
MN0000775254;Infectious Grooves
MN0000786126;James Newton Howard
MN0000212733;John Cohen
MN0000074776;Bill Bruford
MN0000885243;Norman & Nancy Blake
MN0002134208;Carl Maria von Weber
MN0000635183;Manual
MN0000000335;PJ Harvey
MN0000763301;The Fugs
MN0000622919;Sarah Borges
MN0000416920;The Propositions
MN0000755432;Sonny Emory
MN0000133969;Joan Armatrading
MN0000745915;Paul Anka
