Id;Label
MN0000491220;The Ronettes
MN0002931540;Odyssey
MN0000572579;Anita Baker
MN0000572578;Animotion
MN0000032628;Shorty Long
MN0000059101;Bobby Byrd
MN0001016058;Love And Theft
MN0000033481;Andy Griggs
MN0000862855;KT Tunstall
MN0000382734;Matt Monro
MN0000098342;JC Chasez
MN0000338887;Jerry Vale
MN0000093872;Koffee Brown
MN0000079796;Billy Falcon
MN0000117064;Connie Francis
MN0000806293;Joe Stampley
MN0000240587;Lenny LeBlanc
MN0000048757;Switch
MN0000153630;FRENTE!
MN0000240580;Johnnie Morisette
MN0000112789;Korn Featuring Amy Lee
MN0000419102;The Shins
MN0000838557;Penny McLean
MN0001217599;The Chartbusters
MN0000143590;Far Corporation
MN0000582253;Aaron Neville
MN0000391003;Norman Greenbaum
MN0000088535;The Jaynetts
MN0000941716;Bunny Sigler
MN0000079654;Ketty Lester
MN0003199043;Daniel Rodriguez
MN0000937584;Charlie Ryan
MN0000614113;Murray Head
MN0000746915;Paul Carrack
MN0000083095;Kirk Franklin
MN0000227544;Walter Egan
MN0000033680;Tex Ritter
MN0000816387;Leon Russell
MN0000807213;Jane Wiedlin
MN0001205305;Mark Valentino
MN0000113300;Kool Moe Dee
MN0000095330;Kiki Dee
MN0000919836;The Timetones
MN0000834108;Sarah McLachlan
MN0000864209;Neil Diamond
MN0000026227;Smokie
MN0000816701;Deniece Williams
MN0000869305;Nicole Renee
MN0000352992;Jimmy Dean
MN0000184091;Don Henley
MN0000796763;Eddy Grant
MN0000120005;Corina
MN0000184199;Emerson Drive
MN0000264617;Lighthouse
MN0000142178;Frankie Laine
MN0000165818;Charley Pride
MN0000190451;Gale Garnett
MN0000235672;Mai Tai
MN0000064454;The Average White Band
MN0000319347;R. Kelly
MN0000242473;Johnny Adams
MN0000681956;Xscape
MN0000170192;Eddie Hodges
MN0000993271;Julianne Hough
MN0000067631;The Chemical Brothers
MN0000254964;Deon Estus
MN0000833802;Sarah Dash
MN0000618766;Brian McComas
MN0001346105;Jimmy Velvet
MN0000091983;The Black Eyed Peas
MN0000148830;The Diplomats
MN0000608514;Ms. Jade
MN0000007316;Sharissa
MN0000266952;Livingston Taylor
MN0000816890;Johnny Cash
MN0000031380;Paula Abdul
MN0000110945;Chico DeBarge
MN0000089482;Jimmy Ruffin
MN0000086826;Irene Cara
MN0000290590;Samantha Fox
MN0000137401;The Cyrkle
MN0000565388;The Swinging Blue Jeans
MN0000197475;Gene Loves Jezebel
MN0000103391;Kris Jensen
